,roc_l1,roc_l2,roc_l3,roc_l4,sma_l1,sma_l2,sma_l3,sma_l4,Returns%,MaxR
488,8,14,16,25,8,10,8,16,40.021951095573655,
489,8,14,16,25,8,10,10,12,35.05742475663058,
490,8,14,16,25,8,10,10,14,35.99004977394134,
491,8,14,16,25,8,10,10,16,40.87655437755396,
492,8,14,16,25,10,8,8,12,36.00777211708814,
493,8,14,16,25,10,8,8,14,29.6949988296318,
494,8,14,16,25,10,8,8,16,36.82218598273272,
495,8,14,16,25,10,8,10,12,34.28434040512502,
496,8,14,16,25,10,8,10,14,36.941629024380944,
497,8,14,16,25,10,8,10,16,40.38982976342862,
498,8,14,16,25,10,10,8,12,34.01621396170643,
499,8,14,16,25,10,10,8,14,30.54807276598379,
500,8,14,16,25,10,10,8,16,40.05646062476498,
501,8,14,16,25,10,10,10,12,36.48502696509124,
502,8,14,16,25,10,10,10,14,36.49301867163646,
503,8,14,16,25,10,10,10,16,37.52643065426,
504,8,14,16,27,8,8,8,12,36.71056349237875,
